"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"120872","24-05-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Atl. Madrid","5","9","4","5","1","4","0","1","0","1","0","0"
"120807","23-05-26 21:00","Spain","LaLiga","2025/2026","Alaves","Rayo Vallecano","10","5","4","2","6","3","3","3","0","0","3","3"
"120808","23-05-26 21:00","Spain","LaLiga","2025/2026","Betis","Levante","4","8","0","4","4","4","1","2","1","1","0","1"
"120809","23-05-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Sevilla","4","3","2","1","2","2","1","1","1","0","0","1"
"120810","23-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Sociedad","3","5","0","1","3","4","1","3","0","2","1","1"
"120811","23-05-26 21:00","Spain","LaLiga","2025/2026","Getafe","Osasuna","2","4","0","3","2","1","1","2","0","0","1","2"
"120812","23-05-26 21:00","Spain","LaLiga","2025/2026","Girona","Elche","2","1","2","1","0","0","4","4","1","1","3","3"
"120813","23-05-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Oviedo","5","5","3","3","2","2","2","1","0","1","2","0"
"120814","23-05-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Ath Bilbao","2","1","2","1","0","0","2","0","2","0","0","0"
"120815","23-05-26 21:00","Spain","LaLiga","2025/2026","Valencia","Barcelona","7","8","5","4","2","4","2","2","0","0","2","2"
"120670","17-05-26 21:15","Spain","LaLiga","2025/2026","Barcelona","Betis","6","4","4","2","2","2","1","0","1","0","0","0"
"120661","17-05-26 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Celta Vigo","5","0","4","0","1","0","2","2","1","2","1","0"
"120662","17-05-26 19:00","Spain","LaLiga","2025/2026","Atl. Madrid","Girona","9","8","2","2","7","6","2","0","1","0","1","0"
"120663","17-05-26 19:00","Spain","LaLiga","2025/2026","Elche","Getafe","4","0","3","0","1","0","3","1","0","0","3","1"
"120664","17-05-26 19:00","Spain","LaLiga","2025/2026","Levante","Mallorca","4","6","3","4","1","2","2","0","1","0","1","0"
