"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"120872","24-05-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Atl. Madrid","5","1","H","4","1","H","1","0","H"
"120807","23-05-26 21:00","Spain","LaLiga","2025/2026","Alaves","Rayo Vallecano","1","2","A","1","0","H","0","2","A"
"120808","23-05-26 21:00","Spain","LaLiga","2025/2026","Betis","Levante","2","1","H","1","1","D","1","0","H"
"120809","23-05-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Sevilla","1","0","H","0","0","D","1","0","H"
"120810","23-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Sociedad","1","1","D","0","1","A","1","0","H"
"120811","23-05-26 21:00","Spain","LaLiga","2025/2026","Getafe","Osasuna","1","0","H","0","0","D","1","0","H"
"120812","23-05-26 21:00","Spain","LaLiga","2025/2026","Girona","Elche","1","1","D","0","1","A","1","0","H"
"120813","23-05-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Oviedo","3","0","H","1","0","H","2","0","H"
"120814","23-05-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Ath Bilbao","4","2","H","2","1","H","2","1","H"
"120815","23-05-26 21:00","Spain","LaLiga","2025/2026","Valencia","Barcelona","3","1","H","0","0","D","3","1","H"
"120670","17-05-26 21:15","Spain","LaLiga","2025/2026","Barcelona","Betis","3","1","H","1","0","H","2","1","H"
"120661","17-05-26 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Celta Vigo","1","1","D","0","1","A","1","0","H"
"120662","17-05-26 19:00","Spain","LaLiga","2025/2026","Atl. Madrid","Girona","1","0","H","1","0","H","0","0","D"
"120663","17-05-26 19:00","Spain","LaLiga","2025/2026","Elche","Getafe","1","0","H","1","0","H","0","0","D"
"120664","17-05-26 19:00","Spain","LaLiga","2025/2026","Levante","Mallorca","2","0","H","1","0","H","1","0","H"
"120665","17-05-26 19:00","Spain","LaLiga","2025/2026","Osasuna","Espanyol","1","2","A","0","1","A","1","1","D"
"120666","17-05-26 19:00","Spain","LaLiga","2025/2026","Oviedo","Alaves","0","1","A","0","1","A","0","0","D"
"120667","17-05-26 19:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Villarreal","2","0","H","1","0","H","1","0","H"
"120668","17-05-26 19:00","Spain","LaLiga","2025/2026","Real Sociedad","Valencia","3","4","A","1","2","A","2","2","D"
"120669","17-05-26 19:00","Spain","LaLiga","2025/2026","Sevilla","Real Madrid","0","1","A","0","1","A","0","0","D"
"120452","14-05-26 21:30","Spain","LaLiga","2025/2026","Real Madrid","Oviedo","2","0","H","1","0","H","1","0","H"
"120451","14-05-26 20:00","Spain","LaLiga","2025/2026","Girona","Real Sociedad","1","1","D","0","1","A","1","0","H"
"120450","14-05-26 19:00","Spain","LaLiga","2025/2026","Valencia","Rayo Vallecano","1","1","D","1","1","D","0","0","D"
"120440","13-05-26 21:30","Spain","LaLiga","2025/2026","Alaves","Barcelona","1","0","H","1","0","H","0","0","D"
"120441","13-05-26 21:30","Spain","LaLiga","2025/2026","Getafe","Mallorca","3","1","H","2","0","H","1","1","D"
"120438","13-05-26 19:00","Spain","LaLiga","2025/2026","Espanyol","Ath Bilbao","2","0","H","0","0","D","2","0","H"
"120439","13-05-26 19:00","Spain","LaLiga","2025/2026","Villarreal","Sevilla","2","3","A","2","2","D","0","1","A"
"120229","12-05-26 21:30","Spain","LaLiga","2025/2026","Osasuna","Atl. Madrid","1","2","A","0","1","A","1","1","D"
"120228","12-05-26 20:00","Spain","LaLiga","2025/2026","Betis","Elche","2","1","H","1","1","D","1","0","H"
"120227","12-05-26 19:00","Spain","LaLiga","2025/2026","Celta Vigo","Levante","2","3","A","1","1","D","1","2","A"
"119710","11-05-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Girona","1","1","D","0","0","D","1","1","D"
"119416","10-05-26 21:00","Spain","LaLiga","2025/2026","Barcelona","Real Madrid","2","0","H","2","0","H","0","0","D"
"119415","10-05-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Getafe","0","0","D","0","0","D","0","0","D"
"119414","10-05-26 16:15","Spain","LaLiga","2025/2026","Ath Bilbao","Valencia","0","1","A","0","0","D","0","1","A"
"119413","10-05-26 14:00","Spain","LaLiga","2025/2026","Mallorca","Villarreal","1","1","D","1","1","D","0","0","D"
"119298","09-05-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Betis","2","2","D","0","1","A","2","1","H"
"119297","09-05-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Celta Vigo","0","1","A","0","0","D","0","1","A"
"119296","09-05-26 16:15","Spain","LaLiga","2025/2026","Sevilla","Espanyol","2","1","H","0","0","D","2","1","H"
"119295","09-05-26 14:00","Spain","LaLiga","2025/2026","Elche","Alaves","1","1","D","0","0","D","1","1","D"
"119228","08-05-26 21:00","Spain","LaLiga","2025/2026","Levante","Osasuna","3","2","H","2","2","D","1","0","H"
"119176","04-05-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Real Sociedad","1","0","H","0","0","D","1","0","H"
"119132","03-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Madrid","0","2","A","0","0","D","0","2","A"
"119131","03-05-26 18:30","Spain","LaLiga","2025/2026","Betis","Oviedo","3","0","H","2","0","H","1","0","H"
"119130","03-05-26 16:15","Spain","LaLiga","2025/2026","Getafe","Rayo Vallecano","0","2","A","0","1","A","0","1","A"
"119129","03-05-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Elche","3","1","H","2","0","H","1","1","D"
"119030","02-05-26 21:00","Spain","LaLiga","2025/2026","Osasuna","Barcelona","1","2","A","0","0","D","1","2","A"
"119029","02-05-26 18:30","Spain","LaLiga","2025/2026","Alaves","Ath Bilbao","2","4","A","1","0","H","1","4","A"
"119028","02-05-26 16:15","Spain","LaLiga","2025/2026","Valencia","Atl. Madrid","0","2","A","0","0","D","0","2","A"
"119027","02-05-26 14:00","Spain","LaLiga","2025/2026","Villarreal","Levante","5","1","H","1","0","H","4","1","H"
"118899","01-05-26 21:00","Spain","LaLiga","2025/2026","Girona","Mallorca","0","1","A","0","1","A","0","0","D"
"118834","27-04-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Levante","0","0","D","0","0","D","0","0","D"
"118794","26-04-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Celta Vigo","2","1","H","2","0","H","0","1","A"
"118793","26-04-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Sevilla","2","1","H","0","0","D","2","1","H"
"118792","26-04-26 16:15","Spain","LaLiga","2025/2026","Oviedo","Elche","1","2","A","0","2","A","1","0","H"
"118791","26-04-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Sociedad","3","3","D","1","1","D","2","2","D"
"118693","25-04-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Ath Bilbao","3","2","H","0","1","A","3","1","H"
"118692","25-04-26 18:30","Spain","LaLiga","2025/2026","Valencia","Girona","2","1","H","0","0","D","2","1","H"
"118691","25-04-26 16:15","Spain","LaLiga","2025/2026","Getafe","Barcelona","0","2","A","0","1","A","0","1","A"
"118690","25-04-26 14:00","Spain","LaLiga","2025/2026","Alaves","Mallorca","2","1","H","0","1","A","2","0","H"
"118571","24-04-26 21:00","Spain","LaLiga","2025/2026","Betis","Real Madrid","1","1","D","0","1","A","1","0","H"
"118530","23-04-26 21:30","Spain","LaLiga","2025/2026","Oviedo","Villarreal","1","1","D","0","1","A","1","0","H"
"118529","23-04-26 20:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Espanyol","1","0","H","0","0","D","1","0","H"
"118528","23-04-26 19:00","Spain","LaLiga","2025/2026","Levante","Sevilla","2","0","H","1","0","H","1","0","H"
"118502","22-04-26 21:30","Spain","LaLiga","2025/2026","Barcelona","Celta Vigo","1","0","H","1","0","H","0","0","D"
