"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"120872","24-05-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Atl. Madrid","48","52","45","55","51","49","14","9","11","6","3","3","8","4","6","3","2","1","1","5","1","3","0","2"
"120807","23-05-26 21:00","Spain","LaLiga","2025/2026","Alaves","Rayo Vallecano","48","52","52","48","45","55","19","15","7","3","12","12","11","7","4","1","7","6","0","6","0","2","0","4"
"120808","23-05-26 21:00","Spain","LaLiga","2025/2026","Betis","Levante","63","37","65","35","61","39","18","15","6","7","12","8","8","7","4","4","4","3","5","6","1","2","4","4"
"120809","23-05-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Sevilla","55","45","55","45","55","45","12","9","4","4","8","5","3","2","0","1","3","1","8","5","3","3","5","2"
"120810","23-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Sociedad","50","50","49","51","51","49","17","9","6","5","11","4","8","4","3","2","5","2","6","4","3","2","3","2"
"120811","23-05-26 21:00","Spain","LaLiga","2025/2026","Getafe","Osasuna","53","47","60","40","47","53","6","11","3","5","3","6","3","5","2","3","1","2","1","4","0","2","1","2"
"120812","23-05-26 21:00","Spain","LaLiga","2025/2026","Girona","Elche","56","44","53","47","61","39","10","3","1","2","9","1","7","1","1","1","6","0","1","2","0","1","1","1"
"120813","23-05-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Oviedo","58","42","63","37","52","48","23","7","14","5","9","2","7","0","2","0","5","0","7","6","5","4","2","2"
"120814","23-05-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Ath Bilbao","74","26","77","23","70","30","13","8","5","3","8","5","8","2","3","1","5","1","5","5","2","2","3","3"
"120815","23-05-26 21:00","Spain","LaLiga","2025/2026","Valencia","Barcelona","24","76","29","71","18","82","19","11","10","6","9","5","6","4","2","1","4","3","9","5","6","3","3","2"
"120670","17-05-26 21:15","Spain","LaLiga","2025/2026","Barcelona","Betis","63","37","67","33","59","41","15","7","6","3","9","4","9","2","5","1","4","1","5","2","1","1","4","1"
"120661","17-05-26 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Celta Vigo","58","42","57","43","59","41","27","3","13","2","14","1","9","2","6","2","3","0","14","0","6","0","8","0"
"120662","17-05-26 19:00","Spain","LaLiga","2025/2026","Atl. Madrid","Girona","47","53","48","52","46","54","17","25","9","12","8","13","4","11","3","6","1","5","10","7","5","2","5","5"
"120663","17-05-26 19:00","Spain","LaLiga","2025/2026","Elche","Getafe","59","41","77","23","43","57","10","4","8","0","2","4","3","0","3","0","0","0","4","2","2","0","2","2"
"120664","17-05-26 19:00","Spain","LaLiga","2025/2026","Levante","Mallorca","29","71","32","68","26","74","15","8","4","7","11","1","3","3","1","3","2","0","10","5","3","4","7","1"
"120665","17-05-26 19:00","Spain","LaLiga","2025/2026","Osasuna","Espanyol","68","32","62","38","74","26","24","7","11","4","13","3","8","3","3","1","5","2","5","2","3","2","2","0"
"120666","17-05-26 19:00","Spain","LaLiga","2025/2026","Oviedo","Alaves","70","30","66","34","74","26","8","7","4","3","4","4","0","1","0","1","0","0","5","4","3","2","2","2"
"120667","17-05-26 19:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Villarreal","53","47","55","45","51","49","15","11","7","4","8","7","7","2","3","0","4","2","5","4","2","2","3","2"
"120668","17-05-26 19:00","Spain","LaLiga","2025/2026","Real Sociedad","Valencia","55","45","54","46","57","43","8","13","4","5","4","8","3","6","2","2","1","4","5","5","2","2","3","3"
"120669","17-05-26 19:00","Spain","LaLiga","2025/2026","Sevilla","Real Madrid","41","59","39","61","43","57","14","12","7","7","7","5","6","1","2","1","4","0","5","6","3","2","2","4"
"120452","14-05-26 21:30","Spain","LaLiga","2025/2026","Real Madrid","Oviedo","65","35","62","38","67","33","19","9","10","4","9","5","7","1","4","0","3","1","7","5","4","2","3","3"
"120451","14-05-26 20:00","Spain","LaLiga","2025/2026","Girona","Real Sociedad","60","40","57","43","63","37","29","6","17","4","12","2","4","2","3","2","1","0","15","1","7","0","8","1"
"120450","14-05-26 19:00","Spain","LaLiga","2025/2026","Valencia","Rayo Vallecano","52","48","54","46","51","49","12","6","8","5","4","1","3","3","3","3","0","0","4","1","2","1","2","0"
"120440","13-05-26 21:30","Spain","LaLiga","2025/2026","Alaves","Barcelona","23","77","28","72","17","83","9","8","7","6","2","2","3","0","2","0","1","0","3","5","3","3","0","2"
"120441","13-05-26 21:30","Spain","LaLiga","2025/2026","Getafe","Mallorca","40","60","44","56","35","65","6","9","3","4","3","5","4","2","2","1","2","1","2","4","1","3","1","1"
"120438","13-05-26 19:00","Spain","LaLiga","2025/2026","Espanyol","Ath Bilbao","63","37","62","38","64","36","12","11","8","8","4","3","5","4","2","3","3","1","5","4","5","3","0","1"
"120439","13-05-26 19:00","Spain","LaLiga","2025/2026","Villarreal","Sevilla","63","37","62","38","63","37","6","13","3","7","3","6","4","5","2","3","2","2","1","3","1","1","0","2"
"120229","12-05-26 21:30","Spain","LaLiga","2025/2026","Osasuna","Atl. Madrid","58","42","56","44","61","39","23","5","8","3","15","2","5","4","1","3","4","1","14","1","5","0","9","1"
"120228","12-05-26 20:00","Spain","LaLiga","2025/2026","Betis","Elche","45","55","39","61","51","49","16","8","3","4","13","4","7","2","1","2","6","0","7","4","2","1","5","3"
"120227","12-05-26 19:00","Spain","LaLiga","2025/2026","Celta Vigo","Levante","57","43","49","51","66","34","11","14","5","8","6","6","6","6","4","3","2","3","3","5","1","4","2","1"
"119710","11-05-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Girona","59","41","61","39","56","44","18","9","5","3","13","6","5","5","1","2","4","3","6","2","2","1","4","1"
"119416","10-05-26 21:00","Spain","LaLiga","2025/2026","Barcelona","Real Madrid","57","43","55","45","59","41","10","8","4","6","6","2","7","1","3","1","4","0","2","6","1","5","1","1"
"119415","10-05-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Getafe","46","54","53","47","39","61","8","22","2","7","6","15","4","4","0","3","4","1","2","9","1","1","1","8"
